ingr_nums,ingr_nums_replace,ingr_cnt_replace,ingr_qnt_replace,Original Example,Replacement-ingr_cnt,Replacement-ingr_qnt
,,,,fruit,,
1,1,1,,"1 teaspoon vanilla extract (optional), salt to taste",,
1 . 4,1 4,1,4,1 pkg. (4 serving size) jell-o vanilla flavor instant pudding &amp; pie filling,,
1 1,1 1,1,1,"1 (1 pound) loaf unsliced white bread, with crust trimmed",,
1 1 1,1 1 1,1,1,"1 (1 pound) loaf italian bread, cut into 1-inch cubes",,
1 1 1/2,1 1 1/2,1,1,"1 (1 pound) challah loaf, cut crosswise into 1/2-inch-thick slices (not including end pieces)",,
1 1 3/4,1 1 3/4,1,1,"1 (1 pound) loaf french bread, cut into 3/4 inch slices",,
1 1/2,1 1/2,1,1/2,1 1/2 cups milk,,
1 1/2 \,1 1/2 ,1,1/2,"1 1/2 teaspoons mccormick\xae pure vanilla extract, divided",,
1 1/3,1 1/3,1,1/3,1 1/3 cups shredded sharp cheddar cheese,,
1 1/4,1 1/4,1,1/4,1 1/4 cups milk,,
1 10,1 10,1,10,"1 (10 ounce) package frozen strawberries, thawed",,
1 12,1 12,1,12,1 (12 ounce) jar apricot preserves,,
1 12 1,1 12 1,1,12,"1 (12 ounce) loaf french bread, sliced 1-inch thick",,
1 15.25,1 15 25,1,15,"1 (15.25 ounce) can crushed pineapple (juice pack), drained",,
1 16,1 16,1,16,1 (16 ounce) package frozen sweetened whole strawberries,,
1 22 \,1 22 ,1,22,1 (22 ounce) can lucky leaf\xae lemon fruit filling,,
1 29,1 29,1,29,"1 (29 ounce) can sliced peaches, drained",,
1 3/4,1 3/4,1,3/4,"1 3/4 cups milk, divided",,
1 4,1 4,1,4,1 (4 ounce) package philadelphia neufchatel cheese,,
1 66,1 66,1,66,1 teaspoon double-strength imitation vanilla extract (such as goodman's route 66),,
1 7,1 7,1,7,1 (7 ounce) bag diced dried mixed fruit,,
1 8,1 8,1,8,"1 (8 ounce) package cream cheese, diced",,
1 \,1 ,1,,1 teaspoon brandy-based orange liqueur (such as grand marnier\xae),,
1 \ 1,1 1,1,1,"1 loaf archer farms\xae artisan baguette bread, cut into 1-inch chunks",,
1 \ \,1 ,1,,1 cup hershey\xae's milk chocolate chips or hershey\xae's cinnamon chips,,
1 \2122 1,1 1,1,1,"1 loaf archer farms\u2122 whole grain white bread, cut into 1-inch chunks",,
1/2,1/2,1/2,,1/2 cup milk,,
1/2 1,1/2 1,1/2,1,"1/2 cup 1% milk, divided",,
1/2 1 1,1/2 1 1,1/2,1,"1/2 (1 pound) loaf french bread, cut diagonally in 1 inch slices",,
1/2 12 \,1/2 12 ,1/2,12,1/2 (12 count) package hawaiian bread rolls (such as king's\xae),,
1/2 14 \2019 \,1/2 14 ,1/2,14,"1/2 (14 ounce) package brown sugar and butter flavored crispy corn and oat breakfast cereal (such as cap\u2019n crunch\xae), crushed",,
1/2 2,1/2 2,1/2,2,1/2 cup 2% milk,,
1/2 8,1/2 8,1/2,8,"1/2 (8 ounce) package cream cheese, softened",,
1/2 \,1/2 ,1/2,,1/2 cup jif\xae creamy peanut butter,,
1/2 \2122,1/2 ,1/2,,1/2 teaspoon archer farms\u2122 cinnamon,,
1/3,1/3,1/3,,"1/3 cup cornflakes cereal, crumbled",,
1/4,1/4,1/4,,1/4 teaspoon ground cinnamon (optional),,
1/4 1/4,1/4 1/4,1/4,1/4,"1/4 cup butter, cut into 1/4-inch cubes",,
1/4 \,1/4 ,1/4,,"1/4 cup splenda\xae no calorie sweetener, granulated",,
1/8,1/8,1/8,,1/8 teaspoon salt,,
10,10,10,,10 slices french bread,,
10 /,10 /,10,/,"10 slices bread, butter or cooking oil, sliced bananas and strawberries (optional), maple syrup, chocolate syrup, and/or jam",,
10 1,10 1,10,1,10 (1 inch thick) slices day-old french bread,,
10 3/4,10 3/4,10,3/4,10 (3/4 inch thick) slices day-old french bread,,
10 \2122,10 ,10,,"10 hershey's dark chocolate kisses, unwrapped, strawberry jam, archer farms\u2122 cinnamon",,
12,12,12,,12 thick slices white bread,,
12 1,12 1,12,1,12 slices italian or french bread (cut diagonally 1-inch thick),,
12 1 1/2,12 1 1/2,12,1,12 pieces brioche (about 1 1/2-inch thick),,
12 1/2,12 1/2,12,1/2,12 (1/2 inch thick) slices french bread,,
12 3/4,12 3/4,12,3/4,"12 slices (about 3/4-inch thick) french bread, vegetable oil, powdered sugar, maple syrup, heated",,
12 \,12 ,12,,12 slices wonder\xae classic white sandwich bread,,
12 \ \2122,12 ,12,,12 slices sara lee\xae soft &amp; smooth\u2122 whole grain white bread,,
15,15,15,,15 eggs,,
16,16,16,,16 slices firm white bread,,
16 1/2,16 1/2,16,1/2,16 (1/2 inch) slices brioche,,
18,18,18,,"18 slices french baguette, ends trimmed, divided",,
2,2,2,,2 eggs,,
2 /,2 /,2,/,"2 cups mixed fresh berries (strawberries, raspberries, blueberries and/or blackberries)",,
2 1/2,2 1/2,2,1/2,2 1/2 tablespoons maple syrup,,
2 1/2 1,2 1/2 1,2,1/2,2 1/2 cups 1% low-fat milk,,
2 1/4,2 1/4,2,1/4,"2 granny smith apples - peeled, cored and sliced 1/4 inch thick",,
2 1/8,2 1/8,2,1/8,"2 bananas, sliced 1/8-inch thick",,
2 3,2 3,2,3,"2 (3 ounce) packages cream cheese, softened",,
2 8 1,2 8 1,2,8,"2 (8 ounce) packages cold cream cheese, cut into 1-inch cubes",,
2 \,2 ,2,,2 tablespoons hazelnut liqueur (such as frangelico\xae),,
2 \ \,2 ,2,,2 cups reese's\xae puffs\xae cereal,,
2 \2122,2 ,2,,"2 cups archer farms\u2122 muesli cereal, crushed",,
2/3,2/3,2/3,,2/3 cup milk,,
2/3 \ \,2/3 ,2/3,,2/3 cup nestle\xae carnation\xae evaporated fat free milk,,
24 3/4,24 3/4,24,3/4,24 (3/4 inch thick) slices french bread,,
3,3,3,,3 tablespoons poppy seeds,,
3 1.55,3 1 55,3,1,"3 (1.55 ounce) bars milk chocolate candy bars*, halved",,
3 1/2,3 1/2,3,1/2,"3 1/2 tablespoons unsalted butter, for berry sauce:",,
3 1/8,3 1/8,3,1/8,"3 medium apples, peeled, cored, and cut into 1/8-inch-thick slices",,
3 \,3 ,3,,"3 teaspoons mccormick\xae ground cinnamon, divided",,
3/4,3/4,3/4,,3/4 cup milk,,
4,4,4,,4 cups milk,,
4 1 \,4 1 ,4,1,4 (1 inch thick) slices king's hawaiian\xae sweet bread,,
4 1/2,4 1/2,4,1/2,4 pieces 1/2-inch thick pieces brioche,,
4 \,4 ,4,,4 nature valley\xae peanut butter crunchy granola bars,,
4 \2122,4 ,4,,4 slices market pantry\u2122 roundtop white sandwich bread,,
5,5,5,,5 eggs,,
5 1/2,5 1/2,5,1/2,5 1/2 teaspoons white sugar,,
6,6,6,,6 thick slices bread,,
6 1,6 1,6,1,6 (1-inch thick) slices french bread,,
6 100,6 100,6,100,6 slices flourless sprouted 100% whole grain bread,,
6 2,6 2,6,2,6 (2 inch thick) slices french bread,,
8,8,8,,8 cups vegetable oil for deep-frying,,
8 1,8 1,8,1,8 cups cubed french bread (1 inch cubes),,
8 1/2,8 1/2,8,1/2,8 (1/2 inch) slices egg bread,,
8 2,8 2,8,2,8 (2 inch thick) slices french bread,,
8 3/4,8 3/4,8,3/4,8 3/4-inch-thick slices of white bread,,
8 \,8 ,8,,"8 slices sun-maid\xae raisin bread, powdered sugar for topping (optional)",,
8 \2122 100,8 100,8,100,8 slices archer farms\u2122 100% whole wheat bread,,
9,9,9,,9 eggs,,
\,,,,pam\xae no-stick cooking spray,,
