title,ingr_full,quant,units,ingr,category,subcategory
peanut-butter-and-banana-french-toast,1 egg,1.0,,eggs,eggs,
peanut-butter-and-banana-french-toast,1 dash vanilla extract,1.0,dashes,vanilla,flavor,spice
peanut-butter-and-banana-french-toast,2 tablespoons creamy peanut butter,2.0,tablespoons,peanut butter,spread,
peanut-butter-and-banana-french-toast,2 slices bread,2.0,slices,bread,bread,
peanut-butter-and-banana-french-toast,"1 small banana, sliced",1.0,,,,
peanut-butter-and-banana-french-toast,2 tablespoons butter,2.0,tablespoons,butter,fat,
hawaiian-french-toast,"3 eggs, separated",3.0,,,,
hawaiian-french-toast,1/2 teaspoon vanilla extract,0.5,teaspoons,vanilla,flavor,spice
hawaiian-french-toast,1 teaspoon grated orange zest,1.0,teaspoons,orange zest,flavor,zest
hawaiian-french-toast,1/2 teaspoon rum flavored extract,0.5,teaspoons,rum extract,flavor,spice
hawaiian-french-toast,1 tablespoon water,1.0,tablespoons,water,other,
hawaiian-french-toast,1 tablespoon honey,1.0,tablespoons,honey,flavor,
hawaiian-french-toast,"1 (1 pound) loaf hawaiian sweet bread, thickly sliced",1.0,pound,,,
hawaiian-french-toast,"1 (8 ounce) can crushed pineapple, with juice",8.0,ounces,,,
hawaiian-french-toast,"1 (3 ounce) can mandarin orange segments, drained",,ounces,,,
hawaiian-french-toast,3 tablespoons honey,3.0,tablespoons,honey,flavor,
hawaiian-french-toast,1 cup maple syrup,1.0,cups,syrup,syrup,
sunny-orange-french-toast,1 1/2 cups cream of wheat cereal,0.5,cups,,,
sunny-orange-french-toast,"3 eggs, slightly beaten",3.0,,eggs,eggs,
sunny-orange-french-toast,3/4 teaspoon grated orange peel,0.75,teaspoons,orange peel,flavor,zest
sunny-orange-french-toast,1 cup orange juice,1.0,cups,orange juice,flavor,liquid
sunny-orange-french-toast,3 tablespoons granulated sugar,3.0,tablespoons,sugar,sugar,
sunny-orange-french-toast,1 teaspoon vanilla,1.0,teaspoons,vanilla,flavor,spice
sunny-orange-french-toast,12 slices firm white bread (3/4-inch thick),12.0,slices,white bread,bread,
sunny-orange-french-toast,"1/4 cup margarine or butter , divided, powdered sugar (optional)",0.25,cups,,,
grandmas-peach-french-toast,1 cup packed brown sugar,1.0,cups,brown sugar,sugar,
grandmas-peach-french-toast,1/2 cup butter,0.5,cups,butter,fat,
grandmas-peach-french-toast,2 tablespoons water,2.0,tablespoons,water,other,
grandmas-peach-french-toast,"1 (29 ounce) can sliced peaches, drained",29.0,ounces,peaches,fruit,
grandmas-peach-french-toast,12 (3/4 inch thick) slices day-old french bread,12.0,slices,french bread,bread,
grandmas-peach-french-toast,5 eggs,5.0,,eggs,eggs,
grandmas-peach-french-toast,1 tablespoon vanilla extract,1.0,tablespoons,vanilla,flavor,spice
grandmas-peach-french-toast,"1 pinch ground cinnamon, or to taste",1.0,pinches,cinnamon,flavor,spice
whole-wheat-french-toast-with-peaches,1 cup packed brown sugar,1.0,cups,brown sugar,sugar,
whole-wheat-french-toast-with-peaches,1/2 cup butter,0.5,cups,butter,fat,
whole-wheat-french-toast-with-peaches,2 tablespoons water,2.0,tablespoons,water,other,
whole-wheat-french-toast-with-peaches,"1 (16 ounce) package frozen sliced peaches, thawed",16.0,ounces,,,
whole-wheat-french-toast-with-peaches,12 slices sara lee\xae soft &amp; smooth\u2122 whole grain white bread,12.0,slices,white bread,bread,
whole-wheat-french-toast-with-peaches,3/4 cup liquid egg substitute,0.75,cups,egg substitute,eggs,
whole-wheat-french-toast-with-peaches,"1 tablespoon vanilla extract, ground cinnamon to taste",1.0,tablespoons,vanilla,flavor,spice
uncle-jesses-french-toast,4 eggs,4.0,,eggs,eggs,
uncle-jesses-french-toast,1 teaspoon ground cinnamon,1.0,teaspoons,cinnamon,flavor,spice
uncle-jesses-french-toast,1 teaspoon ground nutmeg,1.0,teaspoons,nutmeg,flavor,spice
uncle-jesses-french-toast,1 teaspoon ground ginger,1.0,teaspoons,ginger,flavor,bulb
uncle-jesses-french-toast,1 teaspoon ground cloves,1.0,teaspoons,cloves,flavor,spice
uncle-jesses-french-toast,15 slices whole wheat bread,15.0,slices,whole bread,bread,
uncle-jesses-french-toast,"1 cup butter, divided",1.0,cups,butter,fat,
uncle-jesses-french-toast,1 cup confectioners' sugar for dusting,1.0,cups,confectioners sugar,sugar,
french-toast,3 large eggs,3.0,large,eggs,eggs,
french-toast,1 pinch fine salt,1.0,pinches,,,
french-toast,1/4 teaspoon vanilla extract,0.25,teaspoons,vanilla,flavor,spice
french-toast,3 tablespoons unsalted butter,3.0,tablespoons,butter,fat,
french-toast,"6 slices fresh challah, confectioners' sugar, maple syrup or jam for serving",6.0,slices,,,
pumpkin-french-toast,4 eggs,4.0,,eggs,eggs,
pumpkin-french-toast,1/4 cup canned pumpkin puree,0.25,cups,pumpkin puree,flavor,liquid
pumpkin-french-toast,1 teaspoon ground cinnamon,1.0,teaspoons,cinnamon,flavor,spice
pumpkin-french-toast,1 pinch ground nutmeg,1.0,pinches,nutmeg,flavor,spice
pumpkin-french-toast,8 slices whole wheat bread,8.0,slices,whole bread,bread,
pumpkin-french-toast,2 teaspoons butter,2.0,teaspoons,butter,fat,
sweet-potato-french-toast,1/4 cup mashed sweet potatoes,0.25,cups,,,
sweet-potato-french-toast,4 eggs,4.0,,eggs,eggs,
sweet-potato-french-toast,1/8 teaspoon ground cinnamon,0.13,teaspoons,cinnamon,flavor,spice
sweet-potato-french-toast,1/8 teaspoon ground nutmeg,0.13,teaspoons,nutmeg,flavor,spice
sweet-potato-french-toast,8 slices whole wheat bread,8.0,slices,whole bread,bread,
vanilla-banana-french-toast,2 eggs,2.0,,eggs,eggs,
vanilla-banana-french-toast,3/4 teaspoon vanilla extract,0.75,teaspoons,vanilla,flavor,spice
vanilla-banana-french-toast,1 tablespoon ground cinnamon,1.0,tablespoons,cinnamon,flavor,spice
vanilla-banana-french-toast,2 1/4 teaspoons white sugar,2.0,teaspoons,sugar,sugar,
vanilla-banana-french-toast,2 slices bread,2.0,slices,bread,bread,
vanilla-banana-french-toast,"1 banana, sliced",1.0,,bananas,fruit,
whole-grain-french-toast-with-blackberry-compote,2 (6 ounce) containers fresh blackberries,,ounces,,,
whole-grain-french-toast-with-blackberry-compote,1 tablespoon honey (optional),1.0,tablespoons,honey,flavor,
whole-grain-french-toast-with-blackberry-compote,"1 egg, separated",1.0,,,,
whole-grain-french-toast-with-blackberry-compote,1 egg white,1.0,,egg whites,eggs,
whole-grain-french-toast-with-blackberry-compote,1/4 teaspoon ground nutmeg,0.25,teaspoons,nutmeg,flavor,spice
whole-grain-french-toast-with-blackberry-compote,1/4 teaspoon ground cinnamon,0.25,teaspoons,cinnamon,flavor,spice
whole-grain-french-toast-with-blackberry-compote,1/4 teaspoon ground ginger,0.25,teaspoons,ginger,flavor,bulb
whole-grain-french-toast-with-blackberry-compote,5 slices whole-grain bread,5.0,slices,bread,bread,
